[18:50:13] [INFO] received Windows console close event; shutting log-core down
[18:51:05] [INFO] received Windows console close event; shutting log-core down
[19:07:04] [INFO] received Windows console close event; shutting log-core down
[19:27:30] [INFO] received Windows console close event; shutting log-core down
[19:35:20] [INFO] received Windows console close event; shutting log-core down
[19:37:42] [INFO] received Windows console close event; shutting log-core down
[19:38:17] [INFO] received Windows console close event; shutting log-core down
[20:12:33] [INFO] received Windows console close event; shutting log-core down
[20:30:10] [INFO] received Windows console close event; shutting log-core down
[21:04:58] [INFO] received Windows console close event; shutting log-core down
[22:06:04] [INFO] received Windows console close event; shutting log-core down
[23:36:17] [INFO] received Windows console close event; shutting log-core down
[23:37:04] [INFO] received Windows console close event; shutting log-core down
[23:38:48] [INFO] received Windows console close event; shutting log-core down
[23:40:10] [INFO] received Windows console close event; shutting log-core down
[23:40:44] [INFO] received Windows console close event; shutting log-core down
[00:36:42] [INFO] received Windows console close event; shutting log-core down
[00:40:33] [INFO] received Windows console close event; shutting log-core down
[00:46:14] [INFO] received Windows console close event; shutting log-core down
[00:49:58] [INFO] received Windows console close event; shutting log-core down
[00:51:58] [INFO] received Windows console close event; shutting log-core down
[00:52:23] [INFO] received Windows console close event; shutting log-core down
[00:56:49] [INFO] received Windows console close event; shutting log-core down
[00:57:19] [INFO] received Windows console close event; shutting log-core down
[01:05:31] [INFO] received Windows console close event; shutting log-core down
[01:06:08] [INFO] received Windows console close event; shutting log-core down
[01:07:11] [INFO] received Windows console close event; shutting log-core down
[01:08:30] [INFO] received Windows console close event; shutting log-core down
[01:10:54] [INFO] received Windows console close event; shutting log-core down
[01:15:36] [INFO] received Windows console close event; shutting log-core down
[01:21:12] [INFO] received Windows console close event; shutting log-core down
[01:22:36] [INFO] received Windows console close event; shutting log-core down
[01:23:05] [INFO] received Windows console close event; shutting log-core down
[01:25:18] [INFO] received Windows console close event; shutting log-core down
[01:27:33] [INFO] received Windows console close event; shutting log-core down
[01:28:40] [INFO] received Windows console close event; shutting log-core down
[01:29:24] [INFO] received Windows console close event; shutting log-core down
[01:29:53] [INFO] received Windows console close event; shutting log-core down
[01:33:33] [INFO] received Windows console close event; shutting log-core down
[01:37:25] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:39:51] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:44:52] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:47:52] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:50:15] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:52:42] [INFO] received Windows console close event; shutting log-core down
[02:06:27] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02:08:57] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02:09:39] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02:11:21] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02:12:34] [INFO] received Windows console close event; shutting log-core down
[02:12:46] [INFO] received Windows console close event; shutting log-core down
[02:13:11] [INFO] received Windows console close event; shutting log-core down
[02:14:06] [INFO] received Windows console close event; shutting log-core down
[02:16:06] [INFO] received Windows console close event; shutting log-core down
[02:21:40] [INFO] received Windows console close event; shutting log-core down
[02:22:29] [INFO] received Windows console close event; shutting log-core down
[02:56:14] [INFO] received Windows console close event; shutting log-core down
[02:56:35] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[03:03:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[03:04:30] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[03:06:19] [INFO] received Windows console close event; shutting log-core down
[03:07:33] [INFO] received Windows console close event; shutting log-core down
[03:10:05] [INFO] received Windows console close event; shutting log-core down
[11:05:17] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11:06:53] [INFO] received Windows console close event; shutting log-core down
[11:08:22] [INFO] received Windows console close event; shutting log-core down
[11:09:09] [INFO] received Windows console close event; shutting log-core down
[11:09:39] [INFO] received Windows console close event; shutting log-core down
[11:14:25] [INFO] received Windows console close event; shutting log-core down
[11:29:08] [INFO] received Windows console close event; shutting log-core down
[11:30:08] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11:46:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
